Title: The Star Formation History of the Small Magellanic Cloud
Authors: Harris J., Zaritsky D.
Table: SFH of the SMC
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units         Label    Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---           Region   Region identification
       5 I1     h             RAh      Hour of right ascension (J2000)
   7-  8 I2     min           RAm      Minute of right ascension (J2000)
      10 A1     ---           DE-      Sign of the declination (J2000)
  11- 12 I2     deg           DEd      Degree of declination (J2000)
  14- 15 I2     arcmin        DEm      Arcminute of declination (J2000)
  17- 21 F5.3   [yr]          Y-Age    Age bin's young boundary
  23- 28 F6.3   [yr]          O-Age    Age bin's old boundary 
  30- 34 I5     solMass/Myr   SFR8     Best SFR with Z=0.008
  36- 40 I5     solMass/Myr e_SFR8     Lower limit on SFR8
  42- 46 I5     solMass/Myr E_SFR8     Upper limit on SFR8 
  48- 53 I6     solMass/Myr   SFR4     Best SFR with Z=0.004
  55- 60 I6     solMass/Myr e_SFR4     Lower limit on SFR4
  62- 67 I6     solMass/Myr E_SFR4     Upper limit on SFR4
  69- 73 I5     solMass/Myr   SFR1     ? Best SFR with Z=0.001
  75- 79 I5     solMass/Myr e_SFR1     ? Lower limit on SFR1
  81- 85 I5     solMass/Myr E_SFR1     ? Upper limit on SFR1
--------------------------------------------------------------------------------
DA  0 33 -74 57 9.525  9.725     0     0    12      0      0     23   224   144   304 
DA  0 33 -74 57 9.325  9.525     0     0    16      0      0     40   206   130   282 
DA  0 33 -74 57 9.125  9.325     0     0    28      0      0     52     0     0    51 
DA  0 33 -74 57 8.925  9.125     0     0    31      0      0     48     0     0    32 
DA  0 33 -74 57 8.725  8.925     0     0    40     32      0     74     0     0    37 
DA  0 33 -74 57 8.525  8.725     0     0    52      0      0     47     0     0    40 
DA  0 33 -74 57 8.325  8.525     0     0    60      0      0     57     0     0    53 
DA  0 33 -74 57 8.125  8.325     0     0    83      0      0     77     0     0    72 
DA  0 33 -74 57 7.925  8.125     0     0   120      0      0    110     0     0   100 
DA  0 33 -74 57 7.725  7.925     0     0   190      0      0    190                   
DA  0 33 -74 57 7.525  7.725     0     0   250      0      0    240                   
DA  0 33 -74 57 7.325  7.525     0     0   390      0      0    380                   
DA  0 33 -74 57 7.125  7.325     0     0   610      0      0    610                   
DA  0 33 -74 57 6.925  7.125     0     0   980      0      0    930                   
DA  0 33 -74 57 6.725  6.925     0     0  1500      0      0   1500                   
DA  0 33 -74 57 6.600  6.725     0     0  2700      0      0   3000                   
EA  0 36 -74 57 9.925 10.050     0     0    22      0      0     33   258   187   329 
EA  0 36 -74 57 9.725  9.925     0     0    27      0      0     38     0     0    71 
EA  0 36 -74 57 9.525  9.725     0     0    27      0      0     46   185   101   269 
EA  0 36 -74 57 9.325  9.525     0     0    33      0      0     68   111    32   190 
EA  0 36 -74 57 9.125  9.325     0     0    56    117     47    187     0     0    58 
EA  0 36 -74 57 8.925  9.125     0     0    52      7      0     66     0     0    37 
EA  0 36 -74 57 8.725  8.925     0     0    56      0      0     55    17     0    62 
EA  0 36 -74 57 8.525  8.725    61     5   117      0      0     48     0     0    44 
EA  0 36 -74 57 8.325  8.525     0     0    51      0      0     52     0     0    53 
EA  0 36 -74 57 8.125  8.325     0     0    68      0      0     65     0     0    67 
EA  0 36 -74 57 7.925  8.125     0     0    94      0      0     92     0     0    92 
EA  0 36 -74 57 7.725  7.925     0     0   150      0      0    150                   
EA  0 36 -74 57 7.525  7.725     0     0   200      0      0    190                   
EA  0 36 -74 57 7.325  7.525     0     0   300      0      0    300                   
EA  0 36 -74 57 7.125  7.325     0     0   490      0      0    480                   
EA  0 36 -74 57 6.925  7.125     0     0   770      0      0    740                   
EA  0 36 -74 57 6.725  6.925     0     0  1200      0      0   1200                   
EA  0 36 -74 57 6.600  6.725     0     0  2200      0      0   2500                   
FA  0 39 -74 57 9.925 10.050     0     0    23      0      0     35   235   163   307 
FA  0 39 -74 57 9.725  9.925     0     0    29      0      0     39     0     0    73 
FA  0 39 -74 57 9.525  9.725     0     0    30      0      0     51   208   120   296 
FA  0 39 -74 57 9.325  9.525     0     0    39      5      0     81   146    63   229 
FA  0 39 -74 57 9.125  9.325     0     0    59    115     41    189     0     0    55 
FA  0 39 -74 57 8.925  9.125     0     0    48     12      0     74     0     0    36 
FA  0 39 -74 57 8.725  8.925     0     0    62      0      0     61     2     0    49 
FA  0 39 -74 57 8.525  8.725   100    33   167      0      0     58     0     0    55 
FA  0 39 -74 57 8.325  8.525     0     0    66      0      0     65     0     0    67 
FA  0 39 -74 57 8.125  8.325     0     0    92      0      0     87     0     0    86 
FA  0 39 -74 57 7.925  8.125     0     0   130      0      0    130     0     0   120 
FA  0 39 -74 57 7.725  7.925     0     0   220      0      0    210                   
FA  0 39 -74 57 7.525  7.725     0     0   280      0      0    270                   
FA  0 39 -74 57 7.325  7.525     0     0   420      0      0    420                   
FA  0 39 -74 57 7.125  7.325     0     0   670      0      0    670                   
FA  0 39 -74 57 6.925  7.125     0     0  1100      0      0   1000                   
FA  0 39 -74 57 6.725  6.925    98     0  1798      0      0   1700                   
FA  0 39 -74 57 6.600  6.725   739     0  3739      0      0   3300                   
GA  0 41 -74 57 9.925 10.050     0     0    13      0      0     21   205   129   281 
GA  0 41 -74 57 9.725  9.925     0     0    17      0      0     25     0     0    71 
GA  0 41 -74 57 9.525  9.725     0     0    18      0      0     35   257   163   351 
GA  0 41 -74 57 9.325  9.525     0     0    25      0      0     61   286   195   377 
GA  0 41 -74 57 9.125  9.325     0     0    46     47      1    124     0     0    68 
GA  0 41 -74 57 8.925  9.125     0     0    40     69      4    134     0     0    51 
GA  0 41 -74 57 8.725  8.925     0     0    70      0      0     68     0     0    56 
