LL 00 55 -72 45
ML 00 58 -72 45
NL 01 00 -72 45
OL 01 03 -72 45
PL 01 06 -72 45
QL 01 08 -72 45
RL 01 11 -72 45
SL 01 14 -72 45
TL 01 16 -72 45
AM 00 25 -72 32
BM 00 28 -72 32
CM 00 31 -72 32
DM 00 33 -72 32
EM 00 36 -72 32
FM 00 39 -72 32
GM 00 41 -72 32
HM 00 44 -72 32
IM 00 47 -72 32
JM 00 49 -72 32
KM 00 52 -72 32
LM 00 55 -72 32
MM 00 58 -72 32
NM 01 00 -72 32
OM 01 03 -72 32
PM 01 06 -72 32
QM 01 08 -72 32
RM 01 11 -72 32
SM 01 14 -72 32
TM 01 16 -72 32
AN 00 25 -72 20
BN 00 28 -72 20
CN 00 31 -72 20
DN 00 33 -72 20
EN 00 36 -72 20
FN 00 39 -72 20
GN 00 41 -72 20
HN 00 44 -72 20
IN 00 47 -72 20
JN 00 49 -72 20
KN 00 52 -72 20
LN 00 55 -72 20
MN 00 58 -72 20
NN 01 00 -72 20
ON 01 03 -72 20
PN 01 06 -72 20
QN 01 08 -72 20
RN 01 11 -72 20
SN 01 14 -72 20
TN 01 16 -72 20
AO 00 25 -72 08
BO 00 28 -72 08
CO 00 31 -72 08
DO 00 33 -72 08
EO 00 36 -72 08
FO 00 39 -72 08
GO 00 41 -72 08
HO 00 44 -72 08
IO 00 47 -72 08
JO 00 49 -72 08
KO 00 52 -72 08
LO 00 55 -72 08
MO 00 58 -72 08
NO 01 00 -72 08
OO 01 03 -72 08
PO 01 06 -72 08
QO 01 08 -72 08
RO 01 11 -72 08
SO 01 14 -72 08
TO 01 16 -72 08
AP 00 25 -71 57
BP 00 28 -71 57
CP 00 31 -71 57
DP 00 33 -71 57
EP 00 36 -71 57
FP 00 39 -71 57
GP 00 41 -71 57
HP 00 44 -71 57
IP 00 47 -71 57
JP 00 49 -71 57
KP 00 52 -71 57
LP 00 55 -71 57
MP 00 58 -71 57
NP 01 00 -71 57
OP 01 03 -71 57
PP 01 06 -71 57
QP 01 08 -71 57
RP 01 11 -71 57
SP 01 14 -71 57
TP 01 16 -71 57
AQ 00 25 -71 45
BQ 00 28 -71 45
CQ 00 31 -71 45
DQ 00 33 -71 45
EQ 00 36 -71 45
FQ 00 39 -71 45
GQ 00 41 -71 45
HQ 00 44 -71 45
IQ 00 47 -71 45
JQ 00 49 -71 45
KQ 00 52 -71 45
LQ 00 55 -71 45
MQ 00 58 -71 45
NQ 01 00 -71 45
OQ 01 03 -71 45
PQ 01 06 -71 45
QQ 01 08 -71 45
RQ 01 11 -71 45
SQ 01 14 -71 45
TQ 01 16 -71 45
AR 00 25 -71 32
BR 00 28 -71 32
CR 00 31 -71 32
DR 00 33 -71 32
ER 00 36 -71 32
FR 00 39 -71 32
GR 00 41 -71 32
HR 00 44 -71 32
IR 00 47 -71 32
JR 00 49 -71 32
KR 00 52 -71 32
LR 00 55 -71 32
MR 00 58 -71 32
NR 01 00 -71 32
OR 01 03 -71 32
PR 01 06 -71 32
QR 01 08 -71 32
RR 01 11 -71 32
SR 01 14 -71 32
TR 01 16 -71 32
AS 00 25 -71 20
BS 00 28 -71 20
CS 00 31 -71 20
