tab2.txt
  Starting - Character - Format - Unit - Explanation 
1  F5.2  none    log# (age in years)
7    I5  Mo/Myr  best SFR# (Z=0.008) (Units are 10^-6 solar mass/yr)
13   I5  Mo/Myr  lower-limit SFR# (Z=0.008)
19   I5  Mo/Myr  upper-limit SFR# (Z=0.008)
25   I5  Mo/Myr  best SFR# (Z=0.004)
31   I5  Mo/Myr  lower-limit SFR# (Z=0.004)
37   I5  Mo/Myr  upper-limit SFR# (Z=0.004)
43   I5  Mo/Myr  best SFR# (Z=0.0025)
49   I5  Mo/Myr  lower-limit SFR# (Z=0.0025)
55   I5  Mo/Myr  upper-limit SFR# (Z=0.0025)
61   I5  Mo/Myr  best SFR# (Z=0.001)
67   I5  Mo/Myr  lower-limit SFR# (Z=0.001)
73   I5  Mo/Myr  upper-limit SFR# (Z=0.001)
tab2.txt
                             # Region AA
                      # ( 04h  31m  -72d  17m )
 7.40      6     0    33     0     0     0     0     0     0     0     0     0
 7.10      0     0    24     0     0     0     0     0     0     0     0     0
 6.80      0     0    48     0     0     0     0     0     0     0     0     0
                             # Region BC
                      # ( 04h  35m  -71d  30m )
10.20      0     0     3     0     0     5     0     0    14    68    55    87
10.00      0     0     4     0     0     6     0     0    10    68    52    87
 9.80      0     0     4     0     0     7     0     0    12     0     0    19
 9.60      0     0     6     0     0    11     0     0    16   162   140   183
 9.40      0     0    14    67    45    90   118    95   141    76    56    98
 9.20      3     0    24     3     0    23    41    23    62     0     0    15
 9.00      0     0    11     0     0    11     0     0    11     0     0    13
 8.80      0     0    11     0     0    10     0     0    12    29    15    47
 8.60      0     0    12     0     0    16     8     0    33    18     2    41
 8.40      0     0     8     0     0    10     0     0    15     0     0    28
 8.20      0     0     8     0     0    10     0     0    15     7     0    46
 8.00      0     0    12     0     0    34    23     0    70    19     0    56
 7.70      0     0    23     0     0     0     0     0     0     0     0     0
 7.40      9     0    40     0     0     0     0     0     0     0     0     0
 7.10      7     0    45     0     0     0     0     0     0     0     0     0
 6.80      0     0    93     0     0     0     0     0     0     0     0     0
                             # Region BD
                      # ( 04h  35m  -71d  05m )
10.20      0     0     5     0     0     9     0     0    18    81    64    99
10.00      0     0     5     0     0     9    55    34    77    27     9    45
 9.80      0     0     5     0     0    11     0     0    24    51    32    71
 9.60      0     0     7     0     0    14     0     0    24     0     0    19
 9.40      0     0    15   354   326   384   196   170   223    12     0    32
 9.20     36    13    64    23     0    46     0     0    18     0     0    12
 9.00      0     0    17     0     0    13     0     0    10     0     0    11
 8.80      0     0    17     0     0    14     0     0    17    32    19    49
 8.60      0     0    15     0     0    22    32    13    56     0     0    14
 8.40      0     0    11     0     0    15     0     0    16     0     0    21
 8.20      0     0    15     0     0    18     0     0    26    20     0    56
 8.00      0     0    25     0     0    34    32     0    78    15     0    53
 7.70      0     0    31     0     0     0     0     0     0     0     0     0
 7.40      0     0    24     0     0     0     0     0     0     0     0     0
 7.10     20     0    61     0     0     0     0     0     0     0     0     0
 6.80      0     0    73     0     0     0     0     0     0     0     0     0
                             # Region BE_00
                      # ( 04h  34m  -70d  47m )
10.20      0     0     4     0     0     5     6     0    16    27    18    38
10.00      0     0     4     0     0     6     0     0     9    14     5    25
 9.80      0     0     5     0     0     7     0     0    10     3     0    14
 9.60      0     0     7     0     0     9     0     0    11    20     8    32
 9.40      0     0    11    28    15    41    44    31    57    38    26    50
 9.20      0     0    10     0     0     9    11     0    22     0     0     8
 9.00      0     0     6     0     0     6     0     0     6     0     0     7
 8.80      0     0     6     0     0     6     0     0     8    14     5    25
 8.60      0     0     7     0     0    10     1     0    15     0     0    14
 8.40      0     0     6     0     0     7     0     0    11     4     0    24
 8.20      0     0     7     0     0    11     0     0    14     0     0    21
 8.00      0     0    14     0     0    16     0     0    28     9     0    32
 7.70     10     0    27     0     0     0     0     0     0     0     0     0
 7.40      0     0    24     0     0     0     0     0     0     0     0     0
 7.10      0     0    31     0     0     0     0     0     0     0     0     0
 6.80      0     0    72     0     0     0     0     0     0     0     0     0
                             # Region BE_01
                      # ( 04h  34m  -70d  36m )
10.20      0     0     4     0     0     5     1     0    11    24    16    34
10.00      0     0     4     0     0     5     0     0     8    13     4    23
 9.80      0     0     5     0     0     6     0     0     9    12     2    23
 9.60      0     0     7     0     0     8     0     0    10    18     7    30
 9.40      0     0    12    32    21    45     5     0    18    72    61    84
 9.20      0     0     9     0     0     8     0     0    10     0     0     9
 9.00      0     0     7     0     0     8     0     0     8     0     0     7
 8.80      0     0     8     0     0     7     0     0     8     5     0    15
 8.60      0     0    10     0     0    13     6     0    20     4     0    17
 8.40      0     0     9     0     0    11     0     0    15     0     0    18
 8.20      0     0     9     0     0    11     0     0    16     9     0    31
 8.00      0     0    11     0     0    13     0     0    21     3     0    26
 7.70      0     0    10     0     0     0     0     0     0     0     0     0
 7.40      0     0    11     0     0     0     0     0     0     0     0     0
 7.10      0     0    17     0     0     0     0     0     0     0     0     0
 6.80      0     0    33     0     0     0     0     0     0     0     0     0
                             # Region BE_10
                      # ( 04h  36m  -70d  47m )
10.20      0     0     4     0     0     6     4     0    14    17     9    27
10.00      0     0     5     0     0     6     6     0    16    13     4    22
 9.80      0     0     5     0     0     6     0     0     9     5     0    16
 9.60      0     0     6     0     0     8     0     0     9     0     0    11
 9.40      0     0    11    26    12    40    93    80   107     7     0    19
 9.20     18     5    32     0     0    10    12     1    23     1     0    10
 9.00      0     0     9     0     0     9     0     0     8     0     0     7
 8.80      1     0    12     0     0     9     0     0    10     9     1    20
 8.60      0     0    11     0     0    13     7     0    21     0     0    11
 8.40      0     0     9     0     0    11     0     0    13     5     0    23
 8.20      0     0     9     0     0    11     0     0    14     0     0    19
 8.00      0     0    14     0     0    15     0     0    29    14     0    37
 7.70      0     0    11     0     0     0     0     0     0     0     0     0
 7.40      6     0    28     0     0     0     0     0     0     0     0     0
 7.10      0     0    20     0     0     0     0     0     0     0     0     0
 6.80      0     0    46     0     0     0     0     0     0     0     0     0
                             # Region BE_11
                      # ( 04h  36m  -70d  36m )
10.20      0     0     3     0     0     4     0     0     8    47    38    60
10.00      0     0     3     0     0     4     0     0     6     0     0    11
 9.80      0     0     3     0     0     4     0     0     7    26    14    39
 9.60      0     0     4     0     0     6     0     0    10     1     0    16
 9.40      0     0     8     0     0    13    74    59    90    80    66    95
 9.20      0     0    11     0     0    10    39    26    54     0     0    13
 9.00      0     0    10     0     0    11     0     0    11     0     0    11
 8.80      2     0    17     0     0    13     0     0    12    25    13    39
 8.60      4     0    21     0     0    17     0     0    16    10     0    25
 8.40      0     0    16     0     0    13     0     0    12     0     0    11
 8.20     24     6    43     0     0    16     0     0    16     0     0    15
 8.00      0     0    21     0     0    20     0     0    24     0     0    25
